Blocks,Wplots,Subplots,Variety,Nitrogen,Yield
1,1,1,"""Marvellous""","""0.6 cwt""",156
1,1,2,"""Marvellous""","""0.4 cwt""",118
1,1,3,"""Marvellous""","""0.2 cwt""",140
1,1,4,"""Marvellous""","""0 cwt""",105
1,2,1,"""Victory""","""0 cwt""",111
1,2,2,"""Victory""","""0.2 cwt""",130
1,2,3,"""Victory""","""0.6 cwt""",174
1,2,4,"""Victory""","""0.4 cwt""",157
1,3,1,"""Golden rain""","""0 cwt""",117
1,3,2,"""Golden rain""","""0.2 cwt""",114
1,3,3,"""Golden rain""","""0.4 cwt""",161
1,3,4,"""Golden rain""","""0.6 cwt""",141
2,1,1,"""Marvellous""","""0.4 cwt""",104
2,1,2,"""Marvellous""","""0 cwt""",70
2,1,3,"""Marvellous""","""0.2 cwt""",89
2,1,4,"""Marvellous""","""0.6 cwt""",117
2,2,1,"""Victory""","""0.6 cwt""",122
2,2,2,"""Victory""","""0 cwt""",74
2,2,3,"""Victory""","""0.2 cwt""",89
2,2,4,"""Victory""","""0.4 cwt""",81
2,3,1,"""Golden rain""","""0.2 cwt""",103
2,3,2,"""Golden rain""","""0 cwt""",64
2,3,3,"""Golden rain""","""0.4 cwt""",132
2,3,4,"""Golden rain""","""0.6 cwt""",133
3,1,1,"""Golden rain""","""0.2 cwt""",108
3,1,2,"""Golden rain""","""0.4 cwt""",126
3,1,3,"""Golden rain""","""0.6 cwt""",149
3,1,4,"""Golden rain""","""0 cwt""",70
3,2,1,"""Marvellous""","""0.6 cwt""",144
3,2,2,"""Marvellous""","""0.2 cwt""",124
3,2,3,"""Marvellous""","""0.4 cwt""",121
3,2,4,"""Marvellous""","""0 cwt""",96
3,3,1,"""Victory""","""0 cwt""",61
3,3,2,"""Victory""","""0.6 cwt""",100
3,3,3,"""Victory""","""0.2 cwt""",91
3,3,4,"""Victory""","""0.4 cwt""",97
4,1,1,"""Marvellous""","""0.4 cwt""",109
4,1,2,"""Marvellous""","""0.6 cwt""",99
4,1,3,"""Marvellous""","""0 cwt""",63
4,1,4,"""Marvellous""","""0.2 cwt""",70
4,2,1,"""Golden rain""","""0 cwt""",80
4,2,2,"""Golden rain""","""0.4 cwt""",94
4,2,3,"""Golden rain""","""0.6 cwt""",126
4,2,4,"""Golden rain""","""0.2 cwt""",82
4,3,1,"""Victory""","""0.2 cwt""",90
4,3,2,"""Victory""","""0.4 cwt""",100
4,3,3,"""Victory""","""0.6 cwt""",116
4,3,4,"""Victory""","""0 cwt""",62
5,1,1,"""Golden rain""","""0.6 cwt""",96
5,1,2,"""Golden rain""","""0 cwt""",60
5,1,3,"""Golden rain""","""0.4 cwt""",89
5,1,4,"""Golden rain""","""0.2 cwt""",102
5,2,1,"""Victory""","""0.4 cwt""",112
5,2,2,"""Victory""","""0.6 cwt""",86
5,2,3,"""Victory""","""0 cwt""",68
5,2,4,"""Victory""","""0.2 cwt""",64
5,3,1,"""Marvellous""","""0.4 cwt""",132
5,3,2,"""Marvellous""","""0.6 cwt""",124
5,3,3,"""Marvellous""","""0.2 cwt""",129
5,3,4,"""Marvellous""","""0 cwt""",89
6,1,1,"""Victory""","""0.4 cwt""",118
6,1,2,"""Victory""","""0 cwt""",53
6,1,3,"""Victory""","""0.6 cwt""",113
6,1,4,"""Victory""","""0.2 cwt""",74
6,2,1,"""Golden rain""","""0.6 cwt""",104
6,2,2,"""Golden rain""","""0.4 cwt""",86
6,2,3,"""Golden rain""","""0 cwt""",89
6,2,4,"""Golden rain""","""0.2 cwt""",82
6,3,1,"""Marvellous""","""0 cwt""",97
6,3,2,"""Marvellous""","""0.2 cwt""",99
6,3,3,"""Marvellous""","""0.4 cwt""",119
6,3,4,"""Marvellous""","""0.6 cwt""",121
